@SpeciesCode,@MeasurementDateGMT,@Value,SiteCode
CO,2024-05-01 00:00:00,,IS2
CO,2024-05-01 01:00:00,,IS2
CO,2024-05-01 02:00:00,,IS2
CO,2024-05-01 03:00:00,,IS2
CO,2024-05-01 04:00:00,,IS2
CO,2024-05-01 05:00:00,,IS2
CO,2024-05-01 06:00:00,,IS2
CO,2024-05-01 07:00:00,,IS2
CO,2024-05-01 08:00:00,,IS2
CO,2024-05-01 09:00:00,,IS2
CO,2024-05-01 10:00:00,,IS2
CO,2024-05-01 11:00:00,,IS2
CO,2024-05-01 12:00:00,,IS2
CO,2024-05-01 13:00:00,,IS2
CO,2024-05-01 14:00:00,,IS2
CO,2024-05-01 15:00:00,,IS2
CO,2024-05-01 16:00:00,,IS2
CO,2024-05-01 17:00:00,,IS2
CO,2024-05-01 18:00:00,,IS2
CO,2024-05-01 19:00:00,,IS2
CO,2024-05-01 20:00:00,,IS2
CO,2024-05-01 21:00:00,,IS2
CO,2024-05-01 22:00:00,,IS2
CO,2024-05-01 23:00:00,,IS2
CO,2024-05-02 00:00:00,,IS2
CO,2024-05-02 01:00:00,,IS2
CO,2024-05-02 02:00:00,,IS2
CO,2024-05-02 03:00:00,,IS2
CO,2024-05-02 04:00:00,,IS2
CO,2024-05-02 05:00:00,,IS2
CO,2024-05-02 06:00:00,,IS2
CO,2024-05-02 07:00:00,,IS2
CO,2024-05-02 08:00:00,,IS2
CO,2024-05-02 09:00:00,,IS2
CO,2024-05-02 10:00:00,,IS2
CO,2024-05-02 11:00:00,,IS2
CO,2024-05-02 12:00:00,,IS2
CO,2024-05-02 13:00:00,,IS2
CO,2024-05-02 14:00:00,,IS2
CO,2024-05-02 15:00:00,,IS2
CO,2024-05-02 16:00:00,,IS2
CO,2024-05-02 17:00:00,,IS2
CO,2024-05-02 18:00:00,,IS2
CO,2024-05-02 19:00:00,,IS2
CO,2024-05-02 20:00:00,,IS2
CO,2024-05-02 21:00:00,,IS2
CO,2024-05-02 22:00:00,,IS2
CO,2024-05-02 23:00:00,,IS2
CO,2024-05-03 00:00:00,,IS2
CO,2024-05-03 01:00:00,,IS2
CO,2024-05-03 02:00:00,,IS2
CO,2024-05-03 03:00:00,,IS2
CO,2024-05-03 04:00:00,,IS2
CO,2024-05-03 05:00:00,,IS2
CO,2024-05-03 06:00:00,,IS2
CO,2024-05-03 07:00:00,,IS2
CO,2024-05-03 08:00:00,,IS2
CO,2024-05-03 09:00:00,,IS2
CO,2024-05-03 10:00:00,,IS2
CO,2024-05-03 11:00:00,,IS2
CO,2024-05-03 12:00:00,,IS2
CO,2024-05-03 13:00:00,,IS2
CO,2024-05-03 14:00:00,,IS2
CO,2024-05-03 15:00:00,,IS2
CO,2024-05-03 16:00:00,,IS2
CO,2024-05-03 17:00:00,,IS2
CO,2024-05-03 18:00:00,,IS2
CO,2024-05-03 19:00:00,,IS2
CO,2024-05-03 20:00:00,,IS2
CO,2024-05-03 21:00:00,,IS2
CO,2024-05-03 22:00:00,,IS2
CO,2024-05-03 23:00:00,,IS2
CO,2024-05-04 00:00:00,,IS2
CO,2024-05-04 01:00:00,,IS2
CO,2024-05-04 02:00:00,,IS2
CO,2024-05-04 03:00:00,,IS2
CO,2024-05-04 04:00:00,,IS2
CO,2024-05-04 05:00:00,,IS2
CO,2024-05-04 06:00:00,,IS2
CO,2024-05-04 07:00:00,,IS2
CO,2024-05-04 08:00:00,,IS2
